功效,组成,适应证,按语,方源,制作,药名,编号,分类
"补肝益肾，养血祛风，降血脂,解毒。","何首乌5 g,红茶3 g。",肝肾阴亏所致发须早白、头晕、遗精、腰膝酸软等，慢 性肝炎，痈肿，瘰疬，痔疮。,何首乌具有降胆固醇、抗动脉硬化、促进肠蠕动、抗病 毒的药理作用，还有兴奋神经系统、类似肾上腺皮质激素样的作用， 能补肝肾、益精血、解毒润肠。主要用于精血亏虚、头晕眼花、须发早 白、腰酸脚软、遗精、崩漏、带下、肠燥便秘等。补益精血用制首乌，截 疟、解毒、润肠宜用生首乌，鲜首乌解毒润肠的功效较生首乌更佳。 本方代茶温饮，不拘时常服，冲饮至味淡。注意:大便溏泄及痰湿盛 者不宜服。,经验方。,将何首乌洗净后切细，放入砂锅，加水200 ml煎煮5? 10分钟后去渣取汁，再以之冲泡红茶即成。,何首乌茶Ⅱ,91,轻身减肥
祛风湿，行水气。,嫩桑枝20 g。,风湿性关节炎、类风湿关节炎、肥胖等。,"桑枝，味苦，性平。《医部全录》载，桑枝茶能“逐湿，令 人瘦,过肥者宜久服之”。桑枝有通经活络、袪风湿、行水气的作用。 桑枝茶可以服用也可外洗应用。本品可以连续饮用2?3个月。注 意:不宜用于体质瘦弱患者。",经验方。,"嫩桑枝20 g,切成薄片，沸水冲泡代茶饮。",桑枝茶,92,轻身减肥
降压利水。,桑根白皮30 g。,"肥胖，素有痰湿、血压偏高的眩晕，尿量减少,时有水 肿和体虚盗汗。","桑白皮的药理作用,在古书中已有记载。味甘,性寒, 入肺经，具有利水消肿、修复瘢痕之功效。《名医别录》记载其利水 道，去寸白，可以缝金创。《本草别录》载:“去肺中水气，唾血，热渴, 水肿,腹满肿胀,利水道，可以缝金疮。 ”《本草钩元》载:“利水用生，咳 嗽蜜炙或炒。 ”《本草备要》载:“如恐其泻气,用蜜炙之。”注意:肺寒无 火及风寒咳嗽禁服。",经验方。,"洗净切丝，晒干备用，每日30g,煎水代茶频饮。",桑根白皮茶,93,轻身减肥
"健脾消食,减肥。",茶叶、生姜、诃子皮各等分。,"食积,肥胖。",生姜，味辛，性微温，有开胃止呕的功效。诃子皮味苦、 酸、涩，性平，有涩肠止泻、下气消胀的作用。上茶沸热后，再加生姜 煎服。常饮此茶有很好的保健作用。,经验方。,茶叶、诃子皮加水1碗共煮。,消脂茶,94,轻身减肥
化湿消滞醒胃。,"佩兰6 g,藿香3 g,薄荷4. 5 g,白蔻仁1. 5 g。",过食肥腻，消化不良，纳呆食减，口中黏腻无味或口 臭等。,"佩兰，清暑、辟秽、化湿、调经，治感受暑湿，寒热头痛, 湿邪内蕴，脘痞不饥，口甘苔腻,月经不调。《本草别录》载佩兰“除胸 中痰癖”。藿香，快气、和中、辟秽、祛湿，治感冒暑湿，寒热，头痛，胸 脘痞闷，呕吐泄泻，疟疾，痢疾，口臭。《本草图经》谓藿香“治脾胃吐 逆，为最要之药”。方中佩兰、藿香、白蔻仁,都有化湿醒脾之功。薄 荷，能辟秽、解毒。四药合用，化湿和胃。该茶每日1剂。注意：阴虚 者忌服。",《瀚海颐生十二茶》。,佩兰、藿香、薄荷、白蔻仁共制粗末，沸水冲泡后，加盖 闷10分钟，代茶饮。,佩香茶,95,轻身减肥
芳香化浊，行气活血。,"玫瑰花、茉莉花、代代花各2 g,川芎6 g,荷叶7 g。",肥胖，体重超过正常标准，懒于行动。,"此方升清降浊、理气宽胸、活血降脂，肥胖体臃者饮用 最合宜。方中玫瑰花甘苦而温，功专理气解郁、和血散瘀。《本草拾 遗》说本品“和血，行血，理气”。茉莉花、代代花均有理气解郁、辟秽 和中的作用,与玫瑰花相伍既走气分又走血分。荷叶升发清阳、醒脾 利湿。四药理气解郁而有提神作用，辟秽化湿而奏祛痰利湿、消脂减 肥之功。配以川芎活血行气，通行全身血脉，扩张血管，有助降脂。 代茶饮。宜频频饮用,1日内饮尽。注意:阴虚口渴者不宜饮用，孕妇 禁服。",《中成药研究》。,上药搓碎，置入热水瓶中，用沸水冲泡，加盖闷10 分钟。,三花减肥茶,96,轻身减肥
养阴生津，延年益寿。,"枸杞子10 g,五味子3 g。",阴血亏虚和暑热伤津所致汗多、心烦、口渴等。,"枸杞子具有填精养血、滋补肝肾的作用；五味子可益气 生津、补肾宁心。两味相伍可养五脏之阴、益心肺之气，是老人秋季 调补气阴的佳品。将枸杞子、五味子研细泡水代茶饮。因五味子味 酸性温，有收敛之性，枸杞子味甘性平,不宜用于外邪实热及脾虚有 湿者，忌用于有湿热者。",《摄生众妙方》。,将枸杞子、五味子研细，滚水泡封3日，代茶饮。,二子茶,97,延年益寿
益精悦颜，保元固肾。.,"黄粟米、黄豆、赤小豆、绿豆各750 g,细茶500 g,净脂 麻375 g,净花椒75 g,净小茴香150 g,泡干白姜、炒白盐各30 g。","肾虚,早衰。",方中芝麻、黄豆、赤小豆等均可补肾强健、抗老防衰，花 椒、小茴香、干姜可温阳理气，因而可用于延缓衰老。开水冲服。用 开水冲泡饮服时亦可任意加入核桃仁、松子仁、南枣等。,《韩氏医通》。,"取炒熟黄粟米、黄豆、赤小豆、绿豆各750 g,细茶、净脂 麻、净花椒、净小茴香、泡干白姜、炒白盐,研末加炒熟麦面拌匀，置瓷 罐中存贮待用，开水冲服。",八仙茶,98,延年益寿
滋精补血，益气提神。,"鹿角2 g,龟板2 g,枸杞5 g,人参3 g,红茶5 g。",中老年气血虚弱。,"本方明朝王肯堂之著作《证治准绳》收录曰：人以精、 气、神为根本。“精”不足则无法生“气”，气不足则无法生“神”，然而 补精必以滋味醇厚的药品为主。《本草纲目》记载，李时珍曰：龟鹿皆 灵而有寿。龟首常藏于腹,能通任脉,故取其甲，以补心、补肾、补血, 皆以养阴也。鹿鼻常返向尾，能通督脉，故取其角，以补命、补精、补 气,皆以养阳也。乃物理之玄微，神工之能事也！",《仙传四十九方》。,用350 ml水煎煮鹿角、龟板、人参至水沸后15?30分 钟，冲泡枸杞、红茶饮用。可加蜂蜜。冲饮至味淡。,龟鹿二仙茶,99,延年益寿
滋补肝肾，养血润肺。,"黑芝麻6 g,茶叶3 g。",肝肾亏虚引起的皮肤粗糙、毛发枯黄或早白、耳 鸣等。,"芝麻，相传是西汉张骞通西域时引进中国的。现经科 学考证，芝麻原产我国云贵高原。在浙江湖州市钱山漾新石器时代 遗址和杭州水田畈史前遗址中，发现有古芝麻的种子,证实了中国是 芝麻的故乡。黑芝麻味甘,性平。芝麻具有养血的功效，可以治疗皮 肤干枯、粗糙，令皮肤细腻光滑、红润光泽。黑芝麻还有降血糖、抗炎 等作用。注意:慢性肠炎、便溏腹泻患者忌食。",《醒园录》。,"黑芝麻炒黄,与茶叶一起加水煎煮10分钟。饮汤并食 芝麻与茶叶。",芝麻养血茶,100,延年益寿
滋补气血，养精益脑。,"人参3 g,牛膝2 g,巴戟2 g,杜仲2 g,枸杞2 g,红茶5 g。",中老年体弱。,"人参大补元气、补脾益肺、生津止渴、安神增智；牛膝味 苦、酸，性平，活血通经、消痈肿、补肝肾、强筋骨，常用于治疗腰膝酸 痛、阳痿等；巴戟味辛、甘,性微温，补肾阳、强筋骨、祛风湿;杜仲味 甘，性温，具有补肝肾、强筋骨、安胎的作用，为治腰痛要药;枸杞味 甘，性平，能滋补肝肾、益精明目。诸药合用，以温补肝肾为主，兼补 气行血。该茶每日1剂。但阴虚火旺或有湿热者均不宜服。",经验方。,用500 ml水煎煮上药至水沸后10?15分钟，即可冲泡 红茶饮用。可加蜂蜜。冲饮至味淡。,神仙寿茶,101,延年益寿
补脏益智，安神。,"茯苓2 g,熟地2 g,菊花2 g,人参2 g,柏子仁2 g,红茶 5 g。",中老年体虚。,"茯苓味甘、淡，性平，利水渗湿、健脾补中、宁心安神;熟 地味甘，性微温，养血滋阴、补精益髓，用于血虚、肾阴不足，为滋阴主 药，凡腰酸脚软、头晕眼花、耳鸣耳聋、须发早白等一切精血亏虚证之 表现均可应用;菊花味辛、甘、苦,性微寒，散风清热、平肝明目；人参 大补元气,补脾益肺、生津止渴、安神增智;柏子仁味甘，性平,养心安 神、止汗、润肠。诸药合用，补气健脾、养血滋阴、养心安神。该茶每 日1剂。注意:湿热内蓄、腹胀便溏者均不宜服。",经验方。,用500 ml水煎煮上药至水沸后10?15分钟，冲泡红茶 饮用。也可去茶以煎液代茶饮。可加蜂蜜。冲饮至味淡。,真人茶,102,延年益寿
延年益寿，益智宁神。,"远志2 g,山药2 g,巴戟2 g,菟丝子2 g,五味子2 g,红 茶 10 g。",中老年体虚神衰。,《本草纲目?远志》称:“此草服之能益智强志，故有远 志之称。”远志味苦、辛，性温，安神益智、祛痰开窍、消散痈肿；山药味 甘，性平，补脾养胃、生津益肺、补肾涩精；巴戟补肾阳、强筋骨、祛风 湿;菟丝子味甘，性平，补阳益阴、固精缩尿、明目止泻;五味子味酸、 甘，性温，收敛固涩、益气生津、补肾宁心。诸药合用，温补脾肾、益气 生津、安神益智。注意:但凡实热或痰火内盛者、阴虚火旺者、湿盛中 满或有积滞者忌服。,经验方。,用500 ml水煎煮上药至水沸后10?15分钟，冲泡红茶 饮用。可加蜂蜜。冲饮至味淡。,延寿茶,103,延年益寿
补脾肾，益精神。,"菟丝子3 g,牛膝2 g,山药2 g,茯苓2 g,续断2 g,红茶 10 g。",中老年体弱多病。,"菟丝子又名吐丝子、菟丝实、无娘藤、无根藤、菟藤、菟 缕、野狐丝、豆寄生、黄藤子、萝丝子等，为旋花科植物菟丝子的种子, 有“续绝伤、补不足、益健人”之功。《名医别录》谓其有“养肌强阴、坚筋 骨”的作用。入肝、肾二经。具有补肾益精、养肝明目、安胎等作用。",经验方。,用500 ml水煎煮上药至水沸后10~15分钟，冲泡红茶 饮用。可加蜂蜜。冲饮至味淡。,童春茶,104,延年益寿
补阳祛湿，强身壮体。,"苍术2 g,人参2 g,鹿茸0.5g,淫羊藿2g,泽泻2g,红 茶5 g。",中老年体胖痰湿壅盛，性功能低下。,"淫羊藿名称由来有个故事。据记载，南朝时的著名医 学家陶弘景是个业精于勤，对中医药具有执着追求的人。一日采药 途中，他听一位老羊倌对旁人说:有种生长在树林灌木丛中的怪草， 叶青，状似杏叶，一根数茎,高达一二尺。公羊啃吃以后，阴茎极易勃 起，与母羊交配次数也明显增多,而且阳具长时间坚挺不痿。说者无 心,听者有意。陶弘景暗自思忖:这很可能就是一味还没被发掘的补 肾良药。于是，他不耻下问，虚心向羊倌实地请教，又经过反复验证， 果然证实这野草的强阳作用不同凡响。后将此药载入药典,此药并 由此得名“淫羊藿”。",经验方。,"用500 ml水煎煮上药至水沸后10~15分钟,泡茶饮 用。可加蜂蜜。冲饮至味淡。",求真茶,105,延年益寿
滋补肝肾，延年增智。,"菟丝子2 g,肉苁蓉2 g,枸杞2g,山茱萸2 g,覆盆子 2g,红茶10g。",中老年肝肾不足，房事渐衰。,"菟丝子补阳益阴、固精缩尿、明目止泻；肉苁蓉味咸，性 温,具有补肾益精、润肠通便的作用;枸杞味甘，性平，能滋补肝肾、益 精明目；山茱萸性微温，味酸涩，能补肝肾、涩精、敛汗;覆盆子味甘 酸，性平，补肝肾、缩小便、助阳、固精、明目。诸药合用，温肾壮阳、固 精缩尿。注意:素有湿热、阴虚火旺者不宜服用。",经验方。,用上药的煎煮液500 ml泡红茶饮用。可加蜂蜜。冲饮 至味淡。,延龄茶,106,延年益寿
温补肝肾，固精缩尿。,"山茱萸2g,当归2g,牛膝2g,菟丝子1g,白鱼鳔2g,红茶10g。",中老年体弱多病。,"山茱萸性微温，味酸涩，能补肝肾、涩精、敛汗；当归味 甘、辛，性温，补血活血、调经止痛、润肠通便;菟丝子补阳益阴、固精 缩尿、明目止泻;牛膝味苦、酸，性平，活血通经、消痈肿、补肝肾、强筋 骨,常用于治疗腰膝酸痛、阳痿等；白鱼鳔以鲟鱼、鳇鱼的鱼鳔制成, 有一定的治肾虚滑精的作用。诸药合用，温补肝肾、固精缩尿、补血 活血。注意:脾胃虚弱者、有感冒或腹泻者，不宜服用该茶。",经验方。,"用500ml水煎煮上药至水沸后10?15分钟,冲泡红茶 饮用。可加适量蜂蜜。冲饮至味淡。",蟠龙茶,107,延年益寿
养生延年，益智健脑。,"覆盆子2g,石斛2g,杜仲2g,续断2g,五味子2g,红 茶 10g。",中老年体弱神衰健忘。,"覆盆子味甘、酸，性平，补肝肾、缩小便、助阳、固精、明目；石斛味甘,性微寒，益胃生津、养阴清热;杜仲味甘，性温，具有补 肝肾、强筋骨、安胎的作用，为治腰痛要药;续断味辛,性微温，补肝 肾、续筋骨、调血脉;五味子味酸、甘，性温，收敛固涩、益气生津、补肾 宁心。诸药合用，补肝肾、强筋骨、养阴清热、益气生津。注意:脾胃 虚弱者、湿热内蕴者、有感冒或腹泻者，不宜服用。",经验方。,"用500ml水煎煮上药至水沸后10~15分钟,泡茶饮 用。可加适量蜂蜜。冲饮至味淡。",延年茶,108,延年益寿
养心益肺。,"枸杞子、五味子各6 g,白糖适量。",老人秋季气阴亏虚。,枸杞子具有填精养血、滋补肝肾的作用;五味子可益气 生津、补肾宁心。两味相配可养五脏之阴、益心肺之气，宜长期服用。 因五味子味酸性温，有收敛之性，枸杞子味甘性平，外邪实热、脾虚有 湿及泄泻者忌服。,经验方。,将前两味捣烂后，加糖，沸水冲泡，代茶饮。,二子延年茶,109,延年益寿
养阴润燥，生津延年。,玉竹9g。,糖尿病或热病之阴虚、燥热、烦渴。,"玉竹，能养阴润燥、除烦止渴，治热病阴伤、咳嗽烦渴、 虚劳发热、消谷易饥、小便频数。《本草拾遗》载其:“主聪明，调血气, 令人强壮。”沸水冲泡，每日代茶频饮。注意：胃有痰湿气滞者忌服。",经验方。,玉竹制成粗末后，沸水冲泡代茶饮。,玉竹茶Ⅰ,110,延年益寿
养阴润燥，除烦止渴。,"玉竹10 g,绿茶3 g。",热病伤阴，咳嗽烦渴，虚劳发热，消谷易饥，小便频 数，咽喉不利。,"玉竹,性微寒，味甘，具有强心、类肾上腺皮质激素作用 及润肠通便的药理作用。养阴润燥、生津止渴。注意:本品虽性质平 和，但毕竟为滋阴润燥之品,故脾虚而有湿痰者不宜服。",经验方。,用300 ml开水冲泡后饮用。可加冰糖。,玉竹茶Ⅱ,111,延年益寿
"益心脾,补气血,安神。",龙眼肉5~10枚。,虚劳羸弱，失眠，健忘，惊悸，怔忡。,"龙眼茶，无病长饮,能益寿延年。相传魏文帝时，即已 视龙眼为“南方果之珍异者”。《神农本草经》亦称其能“主五脏邪气, 安志厌食，久服强魂，聪明，经身不老，通神明”。《神农本草经》载龙 眼“主五脏邪气，安志、厌食，久服强魂魄，聪明”。代茶饮。注意：内 有痰火及湿滞停饮者忌服。",经验方。,龙眼肉，隔水蒸熟后，沸水冲泡代茶饮。,龙眼茶,112,延年益寿
